<https://info.internet.org/en/>;rel="original"
,<http://web.archive.org/web/20151223153313/http://info.internet.org/en>;rel="memento"; datetime="Wed, 23 Dec 2015 15:33:13 GMT"
,<http://web.archive.org/web/20151223215702/https://info.internet.org/en>;rel="memento"; datetime="Wed, 23 Dec 2015 21:57:02 GMT"
,<http://web.archive.org/web/20151223215743/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 23 Dec 2015 21:57:43 GMT"
,<http://web.archive.org/web/20151224013839/https://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 01:38:39 GMT"
,<http://web.archive.org/web/20151224013840/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 24 Dec 2015 01:38:40 GMT"
,<http://web.archive.org/web/20151224013846/http://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 01:38:46 GMT"
,<http://web.archive.org/web/20151224020938/https://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 02:09:38 GMT"
,<http://web.archive.org/web/20151224020939/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 24 Dec 2015 02:09:39 GMT"
,<http://web.archive.org/web/20151224020946/http://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 02:09:46 GMT"
,<http://web.archive.org/web/20151224024147/https://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 02:41:47 GMT"
,<http://web.archive.org/web/20151224024148/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 24 Dec 2015 02:41:48 GMT"
,<http://web.archive.org/web/20151224024155/http://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 02:41:55 GMT"
,<http://web.archive.org/web/20151224092332/https://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 09:23:32 GMT"
,<http://web.archive.org/web/20151224092333/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 24 Dec 2015 09:23:33 GMT"
,<http://web.archive.org/web/20151224092343/http://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 09:23:43 GMT"
,<http://web.archive.org/web/20151224185806/https://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 18:58:06 GMT"
,<http://web.archive.org/web/20151224185807/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 24 Dec 2015 18:58:07 GMT"
,<http://web.archive.org/web/20151224185813/http://info.internet.org/en>;rel="memento"; datetime="Thu, 24 Dec 2015 18:58:13 GMT"
,<http://web.archive.org/web/20151225041605/https://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 04:16:05 GMT"
,<http://web.archive.org/web/20151225041606/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 25 Dec 2015 04:16:06 GMT"
,<http://web.archive.org/web/20151225041613/http://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 04:16:13 GMT"
,<http://web.archive.org/web/20151225055103/https://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 05:51:03 GMT"
,<http://web.archive.org/web/20151225055104/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 25 Dec 2015 05:51:04 GMT"
,<http://web.archive.org/web/20151225055111/http://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 05:51:11 GMT"
,<http://web.archive.org/web/20151225055620/https://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 05:56:20 GMT"
,<http://web.archive.org/web/20151225055621/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 25 Dec 2015 05:56:21 GMT"
,<http://web.archive.org/web/20151225055627/http://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 05:56:27 GMT"
,<http://web.archive.org/web/20151225064410/https://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 06:44:10 GMT"
,<http://web.archive.org/web/20151225064411/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 25 Dec 2015 06:44:11 GMT"
,<http://web.archive.org/web/20151225064418/http://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 06:44:18 GMT"
,<http://web.archive.org/web/20151225080103/https://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 08:01:03 GMT"
,<http://web.archive.org/web/20151225080104/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 25 Dec 2015 08:01:04 GMT"
,<http://web.archive.org/web/20151225080111/http://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 08:01:11 GMT"
,<http://web.archive.org/web/20151225110311/https://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 11:03:11 GMT"
,<http://web.archive.org/web/20151225110312/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 25 Dec 2015 11:03:12 GMT"
,<http://web.archive.org/web/20151225183939/https://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 18:39:39 GMT"
,<http://web.archive.org/web/20151225183940/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 25 Dec 2015 18:39:40 GMT"
,<http://web.archive.org/web/20151225184306/https://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 18:43:06 GMT"
,<http://web.archive.org/web/20151225184308/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 25 Dec 2015 18:43:08 GMT"
,<http://web.archive.org/web/20151225184316/http://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 18:43:16 GMT"
,<http://web.archive.org/web/20151225225229/https://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 22:52:29 GMT"
,<http://web.archive.org/web/20151225225230/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 25 Dec 2015 22:52:30 GMT"
,<http://web.archive.org/web/20151225225235/http://info.internet.org/en>;rel="memento"; datetime="Fri, 25 Dec 2015 22:52:35 GMT"
